ROI net sum

Spectrum                                 Na   Mg    Al      Si     K      Ca   Ti    Fe    Sr    Zr    Rh
SRM_1831_300s_100_repeat_Rh_FE_D1_0_57 8672 9020 12140 1028955 27420 1030565 3937 65585 21754  9528 69466
SRM_1831_300s_100_repeat_Rh_FE_D1_0_58 8532 8915 12112 1024950 27630 1032137 4152 66890 21882  9608 69715
SRM_1831_300s_100_repeat_Rh_FE_D1_0_59 8631 8893 11962 1026587 27740 1031881 4049 67015 22083 10418 69271
SRM_1831_300s_100_repeat_Rh_FE_D1_0_6  8527 9067 12043 1025834 27569 1030787 4141 66683 21640  9477 69464
SRM_1831_300s_100_repeat_Rh_FE_D1_0_60 8560 8959 11990 1024174 27443 1031167 4206 66513 21944  9508 69366
SRM_1831_300s_100_repeat_Rh_FE_D1_0_61 8454 9098 11924 1025080 27943 1033552 4005 66593 21996  9122 69488
SRM_1831_300s_100_repeat_Rh_FE_D1_0_62 8403 8825 11957 1025694 27869 1032409 4273 66602 21942 10416 70110
SRM_1831_300s_100_repeat_Rh_FE_D1_0_63 8507 9014 11926 1027482 27498 1030330 3912 66305 22122 10292 69511
SRM_1831_300s_100_repeat_Rh_FE_D1_0_64 8696 8916 12152 1027736 27648 1032854 4186 67040 21402 10502 69557
SRM_1831_300s_100_repeat_Rh_FE_D1_0_65 8653 8940 12025 1026751 27287 1031478 4211 67233 21798 10082 68969
SRM_1831_300s_100_repeat_Rh_FE_D1_0_66 8465 8987 12149 1026751 27562 1030712 4274 66905 22086 10419 69254
SRM_1831_300s_100_repeat_Rh_FE_D1_0_67 8584 8860 11863 1026592 27476 1032361 3932 66490 22134 10151 69268
SRM_1831_300s_100_repeat_Rh_FE_D1_0_68 8450 8973 12194 1027361 27845 1032058 4276 66715 21420  9894 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_69 8555 8825 11979 1026283 27476 1030844 4218 65962 22403  9200 69455
SRM_1831_300s_100_repeat_Rh_FE_D1_0_7  8284 8872 11975 1025104 27623 1031201 3703 66148 21671 10044 69873
SRM_1831_300s_100_repeat_Rh_FE_D1_0_70 8517 9051 11906 1028460 27626 1032606 3826 67463 21579  9747 69470
SRM_1831_300s_100_repeat_Rh_FE_D1_0_71 8456 8908 11967 1025376 27507 1030080 4118 66721 21794  9861 69531
SRM_1831_300s_100_repeat_Rh_FE_D1_0_72 8409 8853 11817 1026739 27433 1031021 3886 66375 22105 10353 69087
SRM_1831_300s_100_repeat_Rh_FE_D1_0_73 8365 8882 11735 1026268 27300 1030714 3903 66801 22249 10418 69641
SRM_1831_300s_100_repeat_Rh_FE_D1_0_74 8436 8898 11808 1027246 27540 1030741 3904 65978 22402  9700 69150
SRM_1831_300s_100_repeat_Rh_FE_D1_0_75 8423 8859 12015 1025474 27246 1031714 3916 66505 21794 10400 69560
SRM_1831_300s_100_repeat_Rh_FE_D1_0_76 8426 8749 11947 1025852 27435 1030953 4078 66612 21126 10206 70362
SRM_1831_300s_100_repeat_Rh_FE_D1_0_77 8542 8875 11843 1026094 27775 1029947 3852 66277 21372 10647 69389
SRM_1831_300s_100_repeat_Rh_FE_D1_0_78 8587 9103 12013 1024574 27745 1027732 4041 66874 22001  9735 68956
SRM_1831_300s_100_repeat_Rh_FE_D1_0_79 8550 8826 11834 1027716 27402 1030492 4266 67314 21589  9468 69011
SRM_1831_300s_100_repeat_Rh_FE_D1_0_8  8384 8933 11877 1023943 27385 1029425 4185 65990 21756  9662 69211
SRM_1831_300s_100_repeat_Rh_FE_D1_0_80 8550 8704 11702 1026583 27969 1032310 4241 66310 21841  9044 69661
SRM_1831_300s_100_repeat_Rh_FE_D1_0_81 8545 8859 12295 1028987 27543 1033841 4395 66439 22150  9684 69650
SRM_1831_300s_100_repeat_Rh_FE_D1_0_82 8300 8961 11783 1028394 27643 1031047 4031 66268 21632 10353 69690
SRM_1831_300s_100_repeat_Rh_FE_D1_0_83 8420 8934 11976 1027043 27387 1030767 4254 66616 21357  9890 69521
SRM_1831_300s_100_repeat_Rh_FE_D1_0_84 8322 8941 12042 1028253 27599 1031543 4129 66709 22842  9980 69730
SRM_1831_300s_100_repeat_Rh_FE_D1_0_85 8667 8979 11865 1027126 27419 1029840 3968 66769 22008 10324 68780
SRM_1831_300s_100_repeat_Rh_FE_D1_0_86 8490 8981 11845 1028841 27676 1030839 3917 65976 21913 10000 68880
SRM_1831_300s_100_repeat_Rh_FE_D1_0_87 8488 9107 11931 1026982 27445 1032653 3994 66448 21837  9462 69846
SRM_1831_300s_100_repeat_Rh_FE_D1_0_88 8537 9110 12090 1025461 27120 1032212 4131 66291 21746  9675 69549
SRM_1831_300s_100_repeat_Rh_FE_D1_0_89 8631 8843 12153 1029065 27116 1032022 4041 66315 22242 10601 70041
SRM_1831_300s_100_repeat_Rh_FE_D1_0_9  8426 8713 11899 1023816 27124 1030460 4026 66071 22003  9539 69871
SRM_1831_300s_100_repeat_Rh_FE_D1_0_90 8484 9073 11967 1026434 27453 1030996 4030 65772 22022 10122 69442
SRM_1831_300s_100_repeat_Rh_FE_D1_0_91 8546 8920 11883 1025430 27876 1031422 3921 66811 21853  9837 69679
SRM_1831_300s_100_repeat_Rh_FE_D1_0_92 8609 8869 12121 1026701 27503 1031361 3710 66060 21822 10256 69398
SRM_1831_300s_100_repeat_Rh_FE_D1_0_93 8605 8739 11999 1026658 27406 1030852 4257 65919 21677  9832 69427
SRM_1831_300s_100_repeat_Rh_FE_D1_0_94 8336 8871 11890 1026748 27502 1029892 4269 66563 21477  9464 69609
SRM_1831_300s_100_repeat_Rh_FE_D1_0_95 8417 8742 12011 1025701 27815 1030714 3998 65756 21966  9888 69711
SRM_1831_300s_100_repeat_Rh_FE_D1_0_96 8442 8975 11623 1025100 27528 1030230 3960 66201 21949  9999 69447
SRM_1831_300s_100_repeat_Rh_FE_D1_0_97 8441 9130 12070 1027310 27801 1031164 4035 66581 22166  9986 69563
SRM_1831_300s_100_repeat_Rh_FE_D1_0_98 8292 8938 11935 1026236 27639 1028888 4001 66030 21390  9105 69238
SRM_1831_300s_100_repeat_Rh_FE_D1_0_99 8529 8751 11942 1025212 27439 1029075 4172 65980 21639 10764 68988


Mean value:                            8485 8915 11959 1026124 27516 1031053 4066 66467 21847  9943 69469
Std. Abw.:                              115  109   123    1532   192    1228  150   390   356   428   337
Std. Abw. rel. [%]:                    1.36 1.22  1.03    0.15  0.70    0.12 3.68  0.59  1.63  4.30  0.49
Conf. interval:                          12   11    12     153    19     123   15    39    36    43    34
